student_id,surname,firstname,emailaddress
E14105278,Gao,Zhen-Ping,e14105278@ncku.edu.tw
E14107506,Deng,Xiang-Ming,e14107506@ncku.edu.tw
E14109289,Chen,Qiu-Zhen,e14109289@ncku.edu.tw
E14105294,Liang,Zhi-Zhi,e14105294@ncku.edu.tw
E14104064,Jiang,Ying-Bo,e14104064@ncku.edu.tw
E14103408,Ding,Xia-Ming,e14103408@ncku.edu.tw
E14108553,Gao,Li-Hua,e14108553@ncku.edu.tw
E14105368,Xu,Jian-Shan,e14105368@ncku.edu.tw
E14105593,Ren,Hua-Qiang,e14105593@ncku.edu.tw
E14105573,He,Jie-Lei,e14105573@ncku.edu.tw
E14106216,Wu,Wen-Kun,e14106216@ncku.edu.tw
E14109022,Zhang,Zhi-Jie,e14109022@ncku.edu.tw
E14100310,Liang,Xiang-Shan,e14100310@ncku.edu.tw
E14108133,Chang,Jian-Kun,e14108133@ncku.edu.tw
E14108437,Gao,Li-Feng,e14108437@ncku.edu.tw
E14106073,Sun,Hua-Ying,e14106073@ncku.edu.tw
E14106704,Tang,Guo-Chao,e14106704@ncku.edu.tw
E14106315,Wu,Feng-Ning,e14106315@ncku.edu.tw
E14106947,Liang,Wen-Rong,e14106947@ncku.edu.tw
E14108778,Yuan,Shan-Zhen,e14108778@ncku.edu.tw
E14105377,Pan,Ying-Hao,e14105377@ncku.edu.tw
E14106909,Xu,Ping-Xia,e14106909@ncku.edu.tw
E14102364,Lee,Zhen-Tao,e14102364@ncku.edu.tw
E14100257,Qian,Wen-Hua,e14100257@ncku.edu.tw
E14105920,Ren,Chao-Xiang,e14105920@ncku.edu.tw
E14102424,Wang,Rong-Zhong,e14102424@ncku.edu.tw
E14106927,Yuan,Dan-Xiang,e14106927@ncku.edu.tw
E14101826,Zhang,Li-Ning,e14101826@ncku.edu.tw
E14102333,Sun,Ying-Qiu,e14102333@ncku.edu.tw
E14100648,Liang,Yan-Shan,e14100648@ncku.edu.tw
E14101378,Wu,Xia-Jian,e14101378@ncku.edu.tw
E14105667,Zhou,Tao-Ming,e14105667@ncku.edu.tw
E14108952,Xie,Zhen-Ying,e14108952@ncku.edu.tw
E14105032,Tang,Rong-Ning,e14105032@ncku.edu.tw
E14101922,Xu,Chao-Ming,e14101922@ncku.edu.tw
E14102265,Xu,Hao-Yan,e14102265@ncku.edu.tw
E14109517,Chen,Hao-Feng,e14109517@ncku.edu.tw
E14100245,Yang,Ming-Tao,e14100245@ncku.edu.tw
E14103687,Chen,Ping-Fang,e14103687@ncku.edu.tw
E14108089,Ma,Ting-Ming,e14108089@ncku.edu.tw
E14106496,Chang,Xia-Xia,e14106496@ncku.edu.tw
E14100658,Zhou,Ping-Jie,e14100658@ncku.edu.tw
E14109108,Lin,Yan-Fang,e14109108@ncku.edu.tw
E14101401,Ding,Rong-Zhen,e14101401@ncku.edu.tw
E14108323,Huang,Wei-Guo,e14108323@ncku.edu.tw
E14104506,Cao,Zhong-Hua,e14104506@ncku.edu.tw
E14108380,Deng,Ming-Ying,e14108380@ncku.edu.tw
E14102797,Zhao,Zhen-Feng,e14102797@ncku.edu.tw
E14103516,Gao,Feng-Wei,e14103516@ncku.edu.tw
E14109835,Liang,Yan-Li,e14109835@ncku.edu.tw
E14106523,Ding,Shan-Rong,e14106523@ncku.edu.tw
E14108166,Chang,Ning-Kun,e14108166@ncku.edu.tw
E14101956,Xu,Ning-Lei,e14101956@ncku.edu.tw
E14109348,Xie,Tao-Zhi,e14109348@ncku.edu.tw
E14102898,Qian,Kun-Ting,e14102898@ncku.edu.tw
E14108925,Zhang,Kun-Hao,e14108925@ncku.edu.tw
E14101229,Chang,Xia-Zhi,e14101229@ncku.edu.tw
E14100741,Tang,Zhi-Ting,e14100741@ncku.edu.tw
E14107671,Lee,Yan-Kun,e14107671@ncku.edu.tw
E14108248,Liang,Zhen-Wei,e14108248@ncku.edu.tw
E14104478,Gao,Xia-Zhong,e14104478@ncku.edu.tw
E14102396,Liu,Zhi-Fang,e14102396@ncku.edu.tw
E14108144,Pan,Wei-Chao,e14108144@ncku.edu.tw
E14108669,Zhao,Feng-Wen,e14108669@ncku.edu.tw
E14109552,Ma,Bo-Zhi,e14109552@ncku.edu.tw
E14102408,Chang,Li-Qiang,e14102408@ncku.edu.tw
E14107838,Yuan,Guo-Li,e14107838@ncku.edu.tw
E14108893,Yuan,Kun-Dan,e14108893@ncku.edu.tw
E14106410,Jiang,Yan-Tao,e14106410@ncku.edu.tw
E14106841,Yuan,Ning-Zhong,e14106841@ncku.edu.tw
E14104863,Feng,Chao-Jie,e14104863@ncku.edu.tw
E14105401,Chen,Ping-Zhong,e14105401@ncku.edu.tw
E14104530,Ma,Ning-Wen,e14104530@ncku.edu.tw
E14101782,Ma,Jie-Ying,e14101782@ncku.edu.tw
E14102950,Feng,Qiang-Chao,e14102950@ncku.edu.tw
E14102558,Gao,Ting-Zhi,e14102558@ncku.edu.tw
E14104817,Liu,Ting-Zhen,e14104817@ncku.edu.tw
E14106705,Gao,Tao-Tao,e14106705@ncku.edu.tw
E14100148,Wu,Feng-Shan,e14100148@ncku.edu.tw
E14104599,Deng,Feng-Li,e14104599@ncku.edu.tw
E14101869,Pan,Zhi-Hua,e14101869@ncku.edu.tw
E14104561,Jiang,Ting-Wei,e14104561@ncku.edu.tw
E14100609,Liu,Xiang-Jie,e14100609@ncku.edu.tw
E14104607,Guo,Hao-Dan,e14104607@ncku.edu.tw
E14106733,Sun,Ying-Hua,e14106733@ncku.edu.tw
