student_id,surname,firstname,emailaddress
E14104286,Shi,Ming-Jian,e14104286@ncku.edu.tw
E14100865,Jiang,Ping-Lei,e14100865@ncku.edu.tw
E14107092,Wang,Wen-Zhen,e14107092@ncku.edu.tw
E14100318,Gao,Ming-Hua,e14100318@ncku.edu.tw
E14104357,Pan,Bo-Jie,e14104357@ncku.edu.tw
E14108107,Shi,Qiu-Ming,e14108107@ncku.edu.tw
E14108848,He,Shan-Hao,e14108848@ncku.edu.tw
E14102402,Xie,Li-Wen,e14102402@ncku.edu.tw
E14102247,Feng,Zhong-Shan,e14102247@ncku.edu.tw
E14107358,Chen,Jian-Dan,e14107358@ncku.edu.tw
E14103610,Wang,Kun-Feng,e14103610@ncku.edu.tw
E14101994,Qian,Guo-Guo,e14101994@ncku.edu.tw
E14101798,Feng,Hao-Qiang,e14101798@ncku.edu.tw
E14108992,Pan,Lei-Hua,e14108992@ncku.edu.tw
E14109379,Chang,Zhi-Feng,e14109379@ncku.edu.tw
E14107742,Pan,Tao-Jian,e14107742@ncku.edu.tw
E14108397,Liu,Dan-Qiu,e14108397@ncku.edu.tw
E14103868,Zhao,Xia-Rong,e14103868@ncku.edu.tw
E14107167,Chen,Li-Shan,e14107167@ncku.edu.tw
E14102558,Zhang,Rong-Guo,e14102558@ncku.edu.tw
